group_id,label,orbital_period_days,eccentricity,arg_periastron_deg,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_age_gyr
EPIC 228974907.01,CANDIDATE,20.84919,,,0.41,4.9992,0.01,0.0103,,33.9,3.01,,1349.0,,9767.0,4.08394,,2.37225,2.49,
EPIC 229039390.01,CANDIDATE,0.251647,,,,,,0.259882,38.73374,1.4649,27.97665274,,,,5833.0,4.41,-0.04,0.986936,,
EPIC 229103251.01,CANDIDATE,11.67254,,,0.44,3.1008,0.114,0.0283,,28.3,3.87,,946.0,,5725.0,4.26894,,1.22705,1.02,
EPIC 229133720.01,CANDIDATE,4.03692,,,0.36,1.5,0.091,0.0285,,13.4,2.24,,870.0,,4861.07,4.60421,-0.034,0.735009,0.792,
EPIC 229228348.01,CANDIDATE,3.137611,,,,1.7208,3.671,0.1713,,15.6,,,,,3579.0,4.8253,,0.452762,0.5,
EPIC 230517965.01,CANDIDATE,9.632039,,,0.951,0.98,,0.0299,,29.38,2.279,,,,4646.0,4.608,-0.117,0.697,0.722,
EPIC 236744423.01,CANDIDATE,18.239311,,,0.189,4.3,,0.0728,,33.92,3.792,,,,4015.0,4.809,-0.12,0.477,1.621,
EPIC 245928102.01,CANDIDATE,11.109675,,,0.462,2.6,,0.0343,,30.18,2.462,,,,4813.0,4.66,-0.368,0.657,0.717,
EPIC 245944983.01,CANDIDATE,5.138,,,,,0.073,,,,,,,,,,,,,
EPIC 246030759.01,CANDIDATE,29.957262,,,0.891,2.9,,0.1089,,52.05,8.456,,,,4897.0,4.695,-0.12,0.711,0.909,
EPIC 246042088.01,CANDIDATE,8.04473,,,0.24,,,0.0362,,20.0,,,,,4975.0,,,0.79,,
EPIC 246042088.02,CANDIDATE,11.82469,,,0.105,,,0.0399,,24.43,,,,,4975.0,,,0.79,,
EPIC 246061904.01,CANDIDATE,7.084267,,,0.331,3.0,,0.0461,,17.8,3.848,,,,4572.0,4.617,-0.051,0.765,0.881,
EPIC 246061904.02,CANDIDATE,20.676056,,,0.319,3.9,,0.0395,,39.92,3.302,,,,4572.0,4.617,-0.051,0.765,0.881,
EPIC 246067130.01,CANDIDATE,6.786539,,,0.573,2.9,,0.0113,,15.08,1.2,,,,5866.0,4.361,-0.422,0.975,0.795,
EPIC 246088339.01,CANDIDATE,2.988541,,,0.575,2.4,,0.0314,,8.28,3.504,,,,5761.0,4.364,-0.063,1.023,0.877,
EPIC 246120353.01,CANDIDATE,21.436032,,,0.344,3.0,,0.0487,,54.15,2.486,,,,3627.0,4.767,0.091,0.467,0.466,
EPIC 246178445.01,CANDIDATE,6.39595,,,0.17,,,0.01991,,17.8,,,,,3972.0,,,0.68,,
EPIC 246260670.01,CANDIDATE,3.853494,,,0.868,2.4,,0.0856,,8.09,6.957,,,,4459.0,4.619,-0.095,0.744,0.838,
EPIC 246261316.01,CANDIDATE,4.696045,,,0.319,2.4,,0.0301,,14.47,2.57,,,,5003.0,4.605,0.049,0.782,0.907,
EPIC 246265680.01,CANDIDATE,8.6387,,,0.19,,,0.0837,,12.04,,,,,5120.0,,,0.647,,
EPIC 246270904.01,CANDIDATE,3.98547,,,0.43,,,0.0562,,15.1,,,,,4256.0,,,0.72,,
EPIC 246290342.01,CANDIDATE,16.607299,,,0.254,3.7,,0.0307,,34.3,2.532,,,,4878.0,4.685,-0.05,0.756,1.011,
EPIC 246310303.01,CANDIDATE,16.980197,,,0.329,4.1,,0.0282,,31.02,2.705,,,,5319.0,4.482,-0.14,0.879,0.852,
EPIC 246313886.01,CANDIDATE,1.827,,,0.43,,0.035,,87.19,,0.99,0.0187,986.0,,3949.0,4.753,,0.503,0.523,
EPIC 246317113.01,CANDIDATE,1.29655,,,0.143,2.1,,0.1338,,5.33,8.559,,,,3583.0,4.645,-0.361,0.586,0.54,
EPIC 246325464.01,CANDIDATE,3.379516,,,0.803,2.1,,0.0586,,8.52,4.742,,,,4940.0,4.585,-0.125,0.741,0.767,
EPIC 246331347.01,CANDIDATE,1.082,,,0.46,,0.162,,86.19,,2.22,0.0162,928.0,,3408.0,4.399,,0.516,0.245,
EPIC 246331418.01,CANDIDATE,3.35,,,0.44,,0.063,,88.21,,0.97,0.0266,851.0,,4408.0,4.617,,0.427,0.276,
EPIC 246331418.02,CANDIDATE,9.32,,,0.44,,0.109,,89.3,,1.43,0.0724,516.0,,4408.0,4.617,,0.427,0.276,
EPIC 246356732.01,CANDIDATE,13.9145,,,0.42,,,0.01276,,19.0,,,,,6640.0,,,1.6,,
EPIC 246362870.01,CANDIDATE,4.03776,,,0.33,,,0.0374,,16.0,,,,,4689.0,,,0.58,,
EPIC 246366798.01,CANDIDATE,7.539949,,,0.272,4.0,,0.0191,,14.02,2.511,,,,5661.0,4.338,-0.128,1.205,1.157,
EPIC 246377038.01,CANDIDATE,5.10555,,,0.919,1.8,,0.0899,,12.95,10.889,,,,4938.0,4.621,-0.074,1.109,1.873,
EPIC 246380972.01,CANDIDATE,17.768404,,,0.388,3.3,,0.0335,,39.52,2.787,,,,4961.0,4.667,-0.154,0.763,0.98,
EPIC 246405278.01,CANDIDATE,4.464438,,,0.635,3.5,,0.0395,,8.04,6.184,,,,5894.0,4.145,-0.084,1.434,1.046,
EPIC 246429728.01,CANDIDATE,11.416439,,,0.484,2.0,,0.0616,,41.83,3.034,,,,3668.0,4.826,0.205,0.451,0.496,
EPIC 246448041.01,CANDIDATE,7.21084,,,0.622,3.1,,0.0197,,14.5,2.26,,,,5739.0,4.286,-0.187,1.053,0.787,
EPIC 246711015.01,CANDIDATE,13.284219,,,0.394,2.7,,0.0286,,35.73,1.233,,,,3245.0,5.24,0.394,0.124,0.098,
EPIC 246711015.02,CANDIDATE,24.213117,,,0.421,3.7,,0.0373,,47.72,0.505,,,,3245.0,5.24,0.394,0.124,0.098,
EPIC 246777408.01,CANDIDATE,2.46564,,,0.479,5.5,,0.1107,,3.48,30.186,,,,7068.0,3.927,0.049,2.497,1.913,
EPIC 246851148.01,CANDIDATE,18.896192,,,0.43,3.0,,0.0332,,45.07,1.975,,,,4459.0,4.654,-0.162,0.545,0.488,
EPIC 246899433.01,CANDIDATE,13.107894,,,0.789,4.3,,0.2183,,21.72,25.768,,,,5732.0,4.353,-0.15,1.081,0.958,
EPIC 246909566.01,CANDIDATE,1.925,,,0.36,,0.216,,89.13,,1.07,0.0251,452.0,,3067.0,4.772,,0.236,0.121,
EPIC 246920193.01,CANDIDATE,10.1997,,,0.892,,,0.0178,,16.9,,,,,5340.0,,,0.97,,
EPIC 246947582.01,CANDIDATE,21.371372,,,0.316,6.6,,0.1327,,27.05,16.514,,,,4692.0,4.413,0.037,1.14,1.232,
EPIC 246987084.01,CANDIDATE,7.098695,,,0.217,2.9,,0.0247,,18.99,1.837,,,,4857.0,4.676,-0.412,0.681,0.809,
EPIC 247047370.01,CANDIDATE,4.20566,,,0.951,,,0.0267,,8.9,,,,,5006.0,,,0.9,,
EPIC 247063356.01,CANDIDATE,9.7051,,,0.777,,,0.0197,,18.0,,,,,5090.0,,,1.24,,
EPIC 247122439.01,CANDIDATE,0.73217,,,0.377,1.3,,0.0123,,4.05,1.108,,,,4641.0,4.526,-0.038,0.827,0.836,
EPIC 247164043.01,CANDIDATE,5.228352,,,0.327,3.5,,0.0164,,11.08,2.282,,,,6265.0,4.223,-0.088,1.272,0.988,
EPIC 247223703.01,CANDIDATE,3.1764,,,,,,,89.9893,,0.9532,0.0377,,133.976,4434.0,4.631,-0.087,0.741,0.861,
EPIC 247226616.01,CANDIDATE,2.419472,,,0.392,5.8,,0.1352,,3.47,36.563,,,,6830.0,3.97,-0.004,2.476,2.086,
EPIC 247281516.01,CANDIDATE,6.770834,,,0.595,6.7,,0.1039,,7.17,25.455,,,,6310.0,4.014,-0.021,2.243,1.895,
EPIC 247396991.01,CANDIDATE,14.616783,,,0.241,3.9,,0.0236,,28.79,2.119,,,,5174.0,4.615,-0.098,0.821,1.016,
EPIC 247445728.01,CANDIDATE,13.7579,,,0.54,,,0.025,,15.5,,,,,4860.0,,,0.76,,
EPIC 247560727.01,CANDIDATE,3.3733,,,,,,,89.9954,,1.5839,0.0279,,109.437,5634.0,4.494,-0.13,0.779,0.693,
EPIC 247560727.02,CANDIDATE,8.4356,,,,,,,87.5945,,2.9192,0.0708,,704.732,5634.0,4.494,-0.13,0.779,0.693,
EPIC 247562358.01,CANDIDATE,3.09246,,,0.347,1.9,,0.0317,,12.08,2.413,,,,4051.0,4.661,-0.223,0.698,0.813,
EPIC 247698108.01,CANDIDATE,20.379434,,,0.577,14.0,,0.0529,,9.98,24.603,,,,4993.0,3.279,-0.325,4.259,1.249,
EPIC 247708770.01,CANDIDATE,4.420394,,,0.325,6.0,,0.0328,,5.54,10.293,,,,5943.0,3.917,-0.24,2.875,2.489,
EPIC 247724061.01,CANDIDATE,1.248905,,,0.976,1.8,,0.0289,,1.76,4.073,,,,5496.0,4.235,-0.1,1.289,1.041,
EPIC 247744801.01,CANDIDATE,12.505,,,,,,,89.9995,,1.673,0.1034,,58.958,5214.0,4.466,0.028,0.975,1.027,
EPIC 247856284.01,CANDIDATE,11.95706,,,0.205,4.0,,0.0291,,22.95,2.635,,,,5292.0,4.579,0.024,0.829,0.954,
EPIC 247874191.01,CANDIDATE,7.624,,,,,,,90.0133,,2.4551,0.0775,,321.73,5998.0,4.241,-0.163,1.29,1.053,
EPIC 247885088.01,CANDIDATE,6.363302,,,0.893,1.5,,0.0311,,16.24,2.786,,,,4482.0,4.621,-0.024,0.819,1.022,
EPIC 247988033.01,CANDIDATE,5.164157,,,0.273,2.2,,0.0113,,17.15,1.006,,,,3832.0,4.63,0.079,0.627,0.612,
EPIC 248018863.01,CANDIDATE,18.001053,,,0.265,5.2,,0.0333,,26.66,3.794,,,,5579.0,4.359,0.091,1.043,0.903,
EPIC 248222323.01,CANDIDATE,9.426901,,,0.975,2.3,,0.0356,,10.77,5.543,,,,5895.0,4.184,0.085,1.427,1.128,
EPIC 248420036.01,CANDIDATE,4.71688,,,0.333,2.3,,0.0487,,15.87,3.725,,,,4846.0,4.679,-0.238,0.701,0.857,
EPIC 248526480.01,CANDIDATE,18.436944,,,0.936,3.9,,0.0859,,19.7,8.002,,,,5308.0,4.529,-0.152,0.853,0.901,
EPIC 248527709.01,CANDIDATE,5.751763,,,0.246,2.6,,0.03,,16.67,2.378,,,,4256.0,4.623,0.004,0.726,0.802,
EPIC 248527709.02,CANDIDATE,10.472764,,,0.286,3.1,,0.0297,,25.69,2.354,,,,4256.0,4.623,0.004,0.726,0.802,
EPIC 248574836.01,CANDIDATE,3.917682,,,0.729,2.4,,0.0779,,9.79,5.581,,,,4566.0,4.682,-0.413,0.656,0.763,
EPIC 248639411.01,CANDIDATE,3.577394,,,0.709,1.7,,0.035,,12.07,3.05,,,,4626.0,4.573,0.072,0.799,0.87,
EPIC 248740016.01,CANDIDATE,14.390721,,,0.501,4.0,,0.0228,,24.51,2.55,,,,5872.0,4.352,-0.074,1.025,0.863,
EPIC 248740571.01,CANDIDATE,9.032248,,,0.246,3.0,,0.0284,,23.09,2.364,,,,4967.0,4.668,-0.114,0.762,0.993,
EPIC 248740571.02,CANDIDATE,16.100178,,,0.237,3.9,,0.031,,31.96,2.576,,,,4967.0,4.668,-0.114,0.762,0.993,
EPIC 248740905.01,CANDIDATE,2.491154,,,0.389,4.0,,0.051,,4.73,9.774,,,,6362.0,4.122,0.065,1.756,1.49,
EPIC 248775938.01,CANDIDATE,1.754,,,0.39,,0.568,,88.26,,5.06,0.0365,873.0,,4663.0,4.665,,0.608,0.625,
EPIC 248782482.01,CANDIDATE,16.222,,,0.39,,0.056,,89.49,,1.28,0.0999,417.0,,3852.0,4.749,,0.503,0.518,
EPIC 248827616.01,CANDIDATE,2.571267,,,0.988,1.8,,0.0312,,3.24,5.97,,,,6216.0,4.147,-0.184,1.75,1.566,
EPIC 248865761.01,CANDIDATE,13.071041,,,0.305,5.2,,0.0168,,18.59,2.285,,,,5937.0,4.214,-0.148,1.246,0.935,
EPIC 248869142.01,CANDIDATE,28.848339,,,0.786,7.1,,0.0191,,20.07,3.657,,,,5344.0,3.795,-0.442,1.75,0.698,
EPIC 249217834.01,CANDIDATE,6.695687,,,0.245,3.4,,0.022,,15.08,2.17,,,,5320.0,4.461,0.125,0.905,0.869,
EPIC 249217834.02,CANDIDATE,27.917236,,,0.333,5.0,,0.0258,,41.68,2.551,,,,5320.0,4.461,0.125,0.905,0.869,
EPIC 249236972.01,CANDIDATE,17.818211,,,0.63,3.0,,0.0368,,37.18,2.77,,,,3878.0,4.567,-0.244,0.689,0.645,
EPIC 249239123.01,CANDIDATE,5.116834,,,0.317,4.9,,0.1824,,9.01,31.682,,,,6983.0,4.06,-0.123,1.591,1.061,
EPIC 249373875.01,CANDIDATE,7.522109,,,0.533,4.0,,0.0149,,12.42,2.249,,,,6356.0,4.184,-0.097,1.386,1.067,
EPIC 249391469.01,CANDIDATE,1.075,,,,,0.095,,,,,,,,3503.0,4.447,,0.567,0.337,
EPIC 249401939.01,CANDIDATE,18.786043,,,0.566,3.6,,0.0337,,34.81,2.846,,,,5450.0,4.487,-0.411,0.773,0.665,
EPIC 249418609.01,CANDIDATE,15.320606,,,0.565,4.2,,0.0145,,23.24,1.77,,,,5819.0,4.272,-0.235,1.118,0.851,
EPIC 249476992.01,CANDIDATE,7.943604,,,0.305,3.3,,0.021,,18.12,1.992,,,,5498.0,4.479,0.107,0.87,0.837,
EPIC 249559552.01,CANDIDATE,7.815366,,,0.28,2.9,,0.0285,,20.54,2.403,,,,4884.0,4.676,-0.074,0.755,0.994,
EPIC 249559552.02,CANDIDATE,19.520805,,,0.234,3.9,,0.0275,,38.64,2.318,,,,4884.0,4.676,-0.074,0.755,0.994,
EPIC 249561595.01,CANDIDATE,39.57057,,,0.774,6.0,,0.1062,,39.98,23.661,,,,5166.0,3.761,-0.368,2.041,0.876,
EPIC 249599275.01,CANDIDATE,11.29231,,,0.303,2.9,,0.0312,,29.02,2.348,,,,4660.0,4.676,-0.302,0.689,0.821,
EPIC 249649721.01,CANDIDATE,24.481285,,,0.396,3.6,,0.03,,48.81,2.49,,,,4861.0,4.674,-0.028,0.761,1.001,
EPIC 249703125.01,CANDIDATE,10.307387,,,0.255,3.4,,0.0272,,22.88,2.602,,,,5359.0,4.491,0.08,0.875,0.864,
EPIC 249731291.01,CANDIDATE,10.205377,,,0.187,7.9,,0.0245,,10.0,6.31,,,,6332.0,4.062,-0.069,2.356,2.312,
EPIC 249731291.02,CANDIDATE,23.336739,,,0.186,10.0,,0.0226,,17.35,5.824,,,,6332.0,4.062,-0.069,2.356,2.312,
EPIC 249822095.01,CANDIDATE,1.696716,,,0.985,1.3,,0.0264,,2.92,5.738,,,,5289.0,3.864,-0.102,1.992,1.056,
EPIC 249827330.01,CANDIDATE,31.396001,,,0.919,4.7,,0.0549,,26.73,10.695,,,,5631.0,3.916,-0.201,1.783,0.949,
EPIC 249828900.01,CANDIDATE,18.277358,,,0.342,3.2,,0.0278,,42.01,1.933,,,,4280.0,4.696,-0.29,0.636,0.732,
EPIC 249865296.01,CANDIDATE,28.888589,,,0.426,6.2,,0.042,,33.98,6.05,,,,6117.0,4.212,-0.197,1.319,1.03,
EPIC 249883770.01,CANDIDATE,2.228112,,,0.301,1.8,,0.0185,,9.43,1.398,,,,4355.0,4.651,-0.324,0.693,0.785,
EPIC 249901311.01,CANDIDATE,0.801864,,,0.311,0.89,,0.0334,,6.74,1.433,,,,3594.0,4.834,-0.095,0.393,0.384,
EPIC 249921188.01,CANDIDATE,17.562214,,,0.898,2.9,,0.0694,,27.18,12.272,,,,5873.0,4.136,-0.233,1.619,1.306,
EPIC 250001426.01,CANDIDATE,1.705,,,,,0.056,,,,,,,,,,,,,
EPIC 250045116.01,CANDIDATE,35.960194,,,0.489,4.0,,0.0334,,62.69,2.45,,,,4090.0,4.587,-0.183,0.672,0.645,
EPIC 250099723.01,CANDIDATE,17.92,,,0.4,,0.097,,89.57,,2.07,0.1417,407.0,,4176.0,4.696,,0.576,0.603,
EPIC 250106132.01,CANDIDATE,22.122365,,,0.559,4.0,,0.0351,,36.7,3.715,,,,5393.0,4.517,0.119,0.969,1.122,
EPIC 251288417.01,CANDIDATE,20.924593,,,,1.5336,11.9088,,,,,,,,2980.0,4.198,,0.423,,
EPIC 251292838.01,CANDIDATE,19.581519,,,,2.7168,8.5946,,,,,,,,5638.0,4.525,,0.861,,
EPIC 251294036.01,CANDIDATE,6.854931,,,,1.2624,1.1053,,,,,,,,5360.0,4.343,,1.031,,
EPIC 251304634.01,CANDIDATE,4.392503,,,0.551,1.8,,0.0152,,15.99,1.11,,,,4707.0,4.634,-0.319,0.669,0.705,
EPIC 251380988.01,CANDIDATE,30.921004,,,,5.484,16.9142,,,,,,,,6680.0,4.099,,1.761,,
EPIC 251399501.01,CANDIDATE,11.634988,,,0.351,4.4,,0.0218,,19.34,2.605,,,,6020.0,4.306,-0.278,1.096,0.89,
EPIC 251578729.01,CANDIDATE,14.223889,,,0.405,3.6,,0.1739,,33.65,21.936,,,,5023.0,4.524,-0.236,1.155,1.631,
EPIC 251584580.01,CANDIDATE,10.973135,,,0.426,2.7,,0.0351,,29.1,2.67,,,,4940.0,4.668,-0.387,0.697,0.823,
K2-229 d,CANDIDATE,31.0,,,,,,,88.92,,2.65,,522.0,,,,,,,
