group_id,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
6443093,389.316341,0.0,1.202,5.49,2599.8,0.263929,89.68,212.0,27.61,1.0162,245.0,0.86,5731.0,4.44,-0.1,0.958,0.921
6509282,3.98916186,0.0,0.08,1.913,318.0,0.015896,89.72,16.14,28.1,0.0725,3293.0,27838.74,4998.0,2.524,0.07,16.187,3.192
6697817,190.800788,0.0,0.066,8.082,287.6,0.015465,89.98,182.75,1.67,0.6686,321.0,2.51,5993.0,4.489,0.07,0.986,1.093
4135912,29.6094263,0.0,0.719,2.71,224.9,0.014742,89.31,59.8,2.87,0.206,789.0,91.56,6079.0,4.059,0.18,1.783,1.329
4150972,161.537665,0.0,0.2175,2.65,101.8,0.009261,89.95,459.0,1.37,0.6016,400.0,6.04,6033.0,4.218,0.07,1.358,1.111
5436455,209.967521,0.0,0.2723,2.585,120.0,0.010162,89.95,604.0,1.16,0.7116,344.0,3.29,6437.0,4.439,-0.32,1.042,1.085
5439000,369.73011,0.0,0.1236,14.27,274.8,0.015262,89.95,199.5,1.66,1.0198,274.0,1.34,6283.0,4.453,-0.3,0.999,1.025
5443320,21.3684341,0.0,0.063,1.18,492.8,0.020049,89.97,140.9,1.72,0.1362,551.0,21.86,5204.0,4.515,-0.26,0.786,0.736
6511182,29.5632952,0.0,0.154,1.562,532.8,0.021017,89.94,146.0,1.9,0.1816,527.0,18.23,5595.0,4.562,-0.12,0.828,0.913
6517064,181.81214,0.0,0.3694,16.164,474.6,0.02023,89.95,81.7,2.04,0.63,324.0,2.6,6060.0,4.509,-0.22,0.925,1.008
6517200,435.50635,0.0,0.1452,34.16,553.8,0.021393,89.95,98.5,2.06,1.1173,225.0,0.61,5750.0,4.538,-0.04,0.882,0.98
6517255,525.560452,0.0,0.0878,2.327,1196.0,0.030724,89.95,1772.0,12.74,1.4077,359.0,3.92,4954.0,3.408,0.04,3.796,1.343
1164301,95.688682,0.0,0.5497,6.465,453.8,0.019927,89.95,97.2,28.41,0.5897,1046.0,283.07,5040.0,2.681,0.07,13.056,2.981
1429589,38.168652,0.0,0.0283,5.086,90.6,0.008741,89.95,57.8,1.4,0.2238,696.0,55.36,6164.0,4.117,-0.28,1.465,1.026
1865864,69.089357,0.0,0.051,6.207,475.1,0.019304,89.97,86.6,1.47,0.2895,332.0,2.87,4848.0,4.581,-0.28,0.698,0.679
4164511,40.9882124,0.0,0.2697,3.599,145.8,0.011238,89.95,84.8,1.44,0.2381,657.0,43.98,6705.0,4.328,-0.54,1.174,1.068
4241238,138.333748,0.0,0.4579,2.391,603.6,0.02258,89.95,404.0,6.28,0.5087,488.0,13.45,4948.0,3.588,-0.18,2.547,0.916
5524229,22.4932751,0.0,0.1313,3.172,152.0,0.011101,89.95,54.309,6.04,0.1861,1183.0,463.56,5186.0,3.273,-0.36,4.98,1.699
5529385,215.732414,0.0,0.4046,1.915,208.2,0.013434,89.95,800.0,1.26,0.6553,292.0,1.72,5790.0,4.479,-0.52,0.856,0.804
6543192,8.0906952,0.0,0.151,2.648,82.4,0.008151,89.63,23.3,0.8,0.077,811.0,102.43,5374.0,4.495,0.22,0.902,0.928
6594945,188.954072,0.0,0.014,14.17,166.5,0.011886,89.99,103.0,2.46,0.6888,468.0,11.36,6392.0,3.967,-0.2,1.899,1.219
2019199,579.81521,0.0,0.8425,5.43,607.0,0.025631,89.95,477.0,2.71,1.3446,218.0,0.53,5822.0,4.449,-0.08,0.969,0.962
2158460,19.12788374,,,2.0,,,,,,,,,,,,,
4346339,493.74242,0.0,0.2377,5.685,506.1,0.02019,89.95,658.0,7.15,1.2355,358.0,3.9,5015.0,3.429,-0.24,3.243,1.031
6634112,9.942228056,0.0,0.93,2.45451,31068.0,0.24062,87.9,25.417,22.15,0.0831,740.0,70.93,5268.0,4.475,-0.14,0.843,0.775
6675757,22.2903562,0.0,0.028,1.623,130.4,0.010324,89.99,106.0,1.13,0.1527,632.0,37.67,5597.0,4.418,0.14,1.0,0.956
2310993,55.180772,0.0,0.306,9.791,474.6,0.020178,89.58,41.9,2.37,0.2953,531.0,18.79,6306.0,4.426,-0.1,1.076,1.126
2437653,84.6405853,0.0,0.2541,2.657,784.0,0.024985,89.95,242.0,1.72,0.3212,271.0,1.27,4386.0,4.629,-0.26,0.63,0.616
2555080,15.2024426,0.0,0.324,8.11,834.0,0.02523,88.81,13.76,113.97,0.1463,2955.0,18026.22,3984.0,1.461,0.2,41.367,1.803
4471313,110.089267,0.0,0.2852,1.575,1018.0,0.029248,89.95,528.1,2.4,0.4205,322.0,2.54,5465.0,4.6,-0.34,0.75,0.817
4478142,219.931324,0.0,0.307,4.818,641.0,0.023063,89.95,340.0,2.3,0.7037,279.0,1.43,5557.0,4.5,0.12,0.912,0.958
4484179,385.29212,0.0,0.0118,19.417,218.5,0.013645,89.95,153.7,1.57,1.007,290.0,1.68,6440.0,4.355,-0.76,1.053,0.916
5650930,455.195496,0.0,0.054,3.565,293.6,0.015827,89.95,989.4,2.09,1.1739,290.0,1.67,6478.0,4.29,-0.4,1.209,1.035
5697395,50.55398,0.0,0.1379,6.159,199.7,0.012561,89.95,62.9,0.94,0.2377,367.0,4.29,4895.0,4.609,-0.3,0.687,0.698
6805414,200.2350497,0.0,0.674,23.612,10812.0,0.100988,89.32,56.4,10.99,0.686,325.0,2.63,6108.0,4.471,-0.08,0.997,1.072
6869373,31.5034587,0.0,0.053,3.315,210.6,0.012966,89.96,73.4,1.17,0.1894,484.0,13.02,5269.0,4.567,0.16,0.823,0.91
6875342,22.2381062,0.0,0.288,2.68,104.2,0.009435,89.73,61.2,1.09,0.1599,702.0,57.27,6192.0,4.433,-0.06,1.055,1.097
6879183,20.5477769,0.0,0.028,4.634,253.8,0.014482,89.95,34.36,1.67,0.1514,690.0,53.65,5922.0,4.429,0.18,1.057,1.095
4566848,180.4118581,0.0,0.953,3.29,4268.0,0.083414,89.75,215.9,8.86,0.6365,329.0,2.77,6032.0,4.485,-0.06,0.973,1.055
5734702,392.47291,0.0,0.761,7.867,345.6,0.018505,89.83,258.0,5.46,1.1814,442.0,9.04,6626.0,3.728,-0.34,2.704,1.426
2861298,581.729006,0.0,0.2236,6.647,186.7,0.01253,89.95,660.0,2.74,1.368,308.0,2.12,5765.0,3.837,-0.46,2.005,1.007
4737848,56.001782,0.0,0.5045,1.706,125.2,0.010573,89.95,219.6,1.54,0.2842,584.0,27.51,6116.0,4.178,-0.32,1.332,0.974
4750962,69.932459,0.0,0.0356,2.03,264.4,0.014575,89.95,266.8,8.25,0.415,812.0,102.62,5207.0,3.298,0.04,5.183,1.946
5793275,535.93723,0.0,0.5968,11.85,337.2,0.017502,89.95,285.0,1.83,1.3107,227.0,0.63,6014.0,4.494,-0.08,0.958,1.043
5857656,313.051405,0.0,0.2093,10.969,594.9,0.02246,89.95,218.2,2.91,0.9249,310.0,2.2,6218.0,4.322,-0.06,1.185,1.072
5859725,18.9828305,0.0,0.021,6.303,49.1,0.006377,89.95,23.16,0.72,0.1431,707.0,59.15,5962.0,4.443,0.1,1.035,1.083
