deploy_id,model_name,profile,threshold,dataset,feature,importance_mean,importance_std,n_repeats,scoring,importance_rank
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test_plus_K2P,transit_duration_hours,0.04677922635305305,0.005516780682709869,20,f2,8
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test_plus_K2P,insolation_earth,0.03963504823268832,0.00453611985758956,20,f2,9
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test_plus_K2P,impact_parameter,0.025768434293016923,0.005247151676287971,20,f2,10
deploy_precision,hgb,precision_constrained,0.8854322299089866,KOI_test_plus_K2P,inclination_deg,0.02408359001972913,0.0035046197604948672,20,f2,11
deploy_recall,rf,recall_constrained,0.029039432932280992,K2P,inclination_deg,0.00044213573645567327,0.0009178337477100843,20,f2,1
deploy_recall,rf,recall_constrained,0.029039432932280992,K2P,orbital_period_days,0.00019523769049975548,0.001379164457086662,20,f2,2
deploy_recall,rf,recall_constrained,0.029039432932280992,K2P,planet_radius_rearth,-2.069384581297462e-05,0.0008758888932148181,20,f2,3
deploy_recall,rf,recall_constrained,0.029039432932280992,K2P,insolation_earth,-3.556583418296011e-05,0.0003026224653947477,20,f2,4
deploy_recall,rf,recall_constrained,0.029039432932280992,K2P,transit_duration_hours,-8.80773778412558e-05,0.00018791232257259864,20,f2,5
deploy_recall,rf,recall_constrained,0.029039432932280992,K2P,impact_parameter,-0.00043963322809492114,0.0006330145137999857,20,f2,6
deploy_recall,rf,recall_constrained,0.029039432932280992,K2P,a_over_rs,-0.0008166836379337849,0.0006358302569301852,20,f2,7
deploy_recall,rf,recall_constrained,0.029039432932280992,K2P,stellar_metallicity_dex,-0.0008437099641131429,0.0006260097081608809,20,f2,8
deploy_recall,rf,recall_constrained,0.029039432932280992,K2P,stellar_logg_cgs,-0.0011303192838897635,0.0002937791966548696,20,f2,9
deploy_recall,rf,recall_constrained,0.029039432932280992,K2P,stellar_teff_k,-0.0012331009090869815,0.0002828927499946467,20,f2,10
deploy_recall,rf,recall_constrained,0.029039432932280992,K2P,transit_depth,-0.0021495080844749328,0.0011047129818767838,20,f2,11
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test,planet_radius_rearth,0.06809683084000073,0.0021872112954765105,20,f2,1
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test,transit_depth,0.0627913133699981,0.0019070125440744038,20,f2,2
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test,inclination_deg,0.050960735476690666,0.0015611042108286267,20,f2,3
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test,a_over_rs,0.04884237478988017,0.001739272187677339,20,f2,4
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test,insolation_earth,0.038444472525337926,0.0015992592664193011,20,f2,5
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test,orbital_period_days,0.03512231563435866,0.0018601557048051277,20,f2,6
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test,impact_parameter,0.032403155767315915,0.0017848038845563522,20,f2,7
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test,stellar_logg_cgs,0.011962964598471747,0.0010878576788487641,20,f2,8
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test,stellar_teff_k,0.01015592324530975,0.0014826787256076107,20,f2,9
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test,stellar_metallicity_dex,0.010113932819333805,0.0018693303751715403,20,f2,10
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test,transit_duration_hours,0.009296039455092792,0.001420160955484914,20,f2,11
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test_plus_K2P,planet_radius_rearth,0.037464379651401855,0.001297535058996727,20,f2,1
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test_plus_K2P,transit_depth,0.03421957881403627,0.0009914726046525003,20,f2,2
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test_plus_K2P,inclination_deg,0.027773299028600262,0.0010339992251989086,20,f2,3
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test_plus_K2P,a_over_rs,0.026464155325280493,0.0011317833513356228,20,f2,4
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test_plus_K2P,orbital_period_days,0.019046558817162457,0.0011499489583466846,20,f2,5
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test_plus_K2P,insolation_earth,0.018085464477782708,0.0008152446678429534,20,f2,6
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test_plus_K2P,impact_parameter,0.014248393445569852,0.0009939473819688765,20,f2,7
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test_plus_K2P,stellar_logg_cgs,0.006481875619408883,0.0005308852707677843,20,f2,8
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test_plus_K2P,stellar_teff_k,0.006086540329355567,0.0006432024745445128,20,f2,9
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test_plus_K2P,transit_duration_hours,0.004770354667060944,0.000824270120301366,20,f2,10
deploy_recall,rf,recall_constrained,0.029039432932280992,KOI_test_plus_K2P,stellar_metallicity_dex,0.004469474716292854,0.0008928029184578654,20,f2,11
